TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,162.4589,no,35-44,hispanic,male,Rage,-5.0938,0.9878,7.5831,0.0000,3.2803,0.5086,28.7582,50.6040,0.0001,1.2257,-34.8456,99.2335,0.0000,0.0193,0.0000,99.2335,0.0013,0.0045,0.0025,15.8231,0.0005,1.0572,0.0038,0.0001,0.0002,0.0000,98.5261,0.0000,0.0000,1.1389,11.5584,0.0029,5.6777,0.0000,0.0000,0.0000,0.0018,0.0018,50.6040,0.0000,0.0229,2.3054,2.3054,0.0018,0.0344,
0.0000,0,163.5402,yes,55-64,south asian,male,Rage,-1.7911,-3.4774,18.6884,0.0000,3.4454,99.7508,27.3186,88.8631,0.0001,1.2432,-100.0000,100.0000,0.0000,0.0032,0.0000,100.0000,58.1094,32.5308,0.0000,90.0921,0.0001,8.7140,0.0003,0.0048,0.0002,0.0000,97.5979,0.0000,0.0001,29.5958,1.3905,0.0049,92.8428,0.0000,0.0000,0.0000,0.0018,0.0018,88.8631,0.0000,0.1536,5.3215,5.3215,0.0018,0.8116,
0.0000,0,157.4747,no,45-54,hispanic,male,Wink,-4.1505,0.0253,11.1063,0.0000,3.4422,1.9157,28.7935,65.3039,0.0001,1.2429,-39.9871,99.9867,0.0000,0.0077,0.0000,99.9867,0.0049,0.0054,0.0017,28.9756,0.0003,4.2987,0.0005,0.0001,0.0001,0.0001,98.7811,0.0000,0.0000,21.7045,0.0417,0.0000,37.4908,0.0000,0.0000,0.0000,0.0018,0.0018,65.3039,0.0000,99.7508,2.2997,2.2997,0.0018,0.1092,
0.0000,0,158.6540,no,35-44,south asian,male,Wink,-6.0178,-0.4824,14.7661,0.0000,3.5817,3.0566,31.6496,88.5244,0.0001,1.2409,-52.1010,99.9019,0.0000,1.4154,0.0008,99.9019,0.0140,0.1711,0.0059,70.6068,0.0002,1.3616,0.0619,0.0001,0.0001,0.0000,98.6660,0.0000,0.0000,11.6595,0.2141,0.0002,9.2570,0.0000,0.0000,0.0000,0.0018,0.0018,88.5244,0.0000,97.6526,2.3007,2.3007,0.0018,0.0391,
0.0000,0,167.0901,no,35-44,caucasian,male,Unknown,-0.2425,0.7900,3.2488,0.0017,0.0048,0.4333,0.0253,0.0086,0.1826,0.1953,-4.9394,0.7159,0.0000,0.0002,0.0020,0.7159,0.0011,0.0211,0.0031,15.5599,0.0014,0.1442,0.0002,0.0005,0.0005,0.1393,98.5825,0.0000,0.0000,0.1126,0.0165,0.0000,15.9733,0.0018,0.0017,0.0017,0.0018,0.0018,0.0086,0.0000,0.0142,2.3017,2.3017,0.0018,0.0500,
0.0000,0,167.1357,no,35-44,south asian,male,Unknown,-9.1678,-3.0477,16.0960,0.0018,0.0045,0.4305,0.0239,0.0071,0.1931,0.1927,-3.8940,0.2476,0.0000,0.0004,0.0419,0.0037,0.0010,0.2476,0.0001,12.3044,0.0002,0.2552,0.0019,0.0007,0.0009,0.0000,97.7914,0.0000,0.0000,0.0000,44.4893,0.0034,12.3582,0.0018,0.0018,0.0018,0.0018,0.0018,0.0071,0.0000,0.0018,2.2989,2.3111,0.0018,0.0438,
0.0000,0,174.1945,no,35-44,south asian,male,Unknown,-1.8174,4.2154,-5.3167,0.0018,0.0045,0.4655,0.0241,0.0054,0.1922,0.1928,-2.4505,2.0433,0.0000,0.0008,0.0003,0.0333,0.0009,2.0433,0.0114,4.6977,0.0734,0.0033,0.0000,0.0011,0.0000,70.8806,97.2265,0.0000,0.0000,0.0025,0.0009,0.0000,78.6841,0.0018,0.0018,0.0018,0.0019,0.0018,0.0054,0.0000,0.0018,2.3013,2.3563,0.0018,0.4866,
0.0000,0,172.2774,no,35-44,south asian,male,Unknown,-2.4737,4.3022,-5.3954,0.0018,0.0046,0.4310,0.0241,0.0170,0.1921,0.1928,-10.9376,0.2773,0.0000,0.0009,0.0005,0.0399,0.0003,0.2773,0.0008,35.9475,0.0075,0.0059,0.0001,0.0002,0.0000,45.7719,97.1793,0.0000,0.0000,0.0003,0.0040,0.0000,60.1051,0.0018,0.0018,0.0018,0.0018,0.0018,0.0170,0.0000,0.0018,2.2981,2.3192,0.0018,0.2482,
0.0000,0,162.5439,no,45-54,south asian,male,Unknown,12.2437,-4.1172,28.0637,0.0018,0.0046,0.4262,0.0237,0.0045,0.1946,0.1954,-0.0033,0.0121,0.0001,0.0024,0.0121,0.0001,0.0024,0.0021,0.0000,0.0003,0.0028,0.0008,0.0000,0.3613,0.1347,0.0000,97.2789,0.0000,0.0000,0.0147,0.0161,0.0000,59.6368,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0071,2.2979,2.2979,0.0018,0.2445,
0.0000,0,170.9710,no,45-54,caucasian,male,Unknown,2.1007,1.7740,3.6362,0.0018,0.0046,0.4583,0.0241,0.0089,0.1919,0.1929,-5.5658,0.1107,0.0000,0.0011,0.0042,0.0578,0.0015,0.1107,0.0072,18.2796,0.0046,0.0105,0.0000,0.0003,0.0001,26.0199,98.2795,0.0000,0.0002,0.0868,0.0024,0.0000,44.5728,0.0018,0.0018,0.0018,0.0018,0.0018,0.0089,0.0000,0.0123,2.3001,2.3001,0.0018,0.1413,
